id,rumor,label,evidence_id,evidence,username
AuRED_014,aurgent Ramallah Ministry of Health spokesman Kamal Al Shakhra we receive dose of the American aModernaa Corona vaccine and this batch will be designate for President Abbas the Fatah Central Committee and vipsa,REFUTES,"['1357211717479116800', '1356683687870488576', '1356683511047028748', '1356683390733471746']",picture from the launch of the vaccination campaign against the Coronavirus start with the medical and health team in Bethlehem vaccine Palestine covid the Ministry add that the group that will receive the vaccine be the elderly over the age of and those with chronic disease because if they be infect with the virus they will be more susceptible to serious symptom vaccine modernavaccine palestine covid yesterday the Ministry of Health announce that it have receive dose of Moderna vaccine stress that the priority in receive anti coronavirus vaccination be for personnel work in the health sector as they be the group who have the most contact with patient and be most at risk of infection with the Corona virus modernavaccine palestine covid the Minister of Health Dr MayAlkaila today Tuesday the campaign where she receive the vaccine at Hogochaffer Hospital in Turmus Aya while the medical staff work in the intensive care room there be vaccinate with the Moderna vaccine modernavaccine palestine covid,"['palestine_moh', 'palestine_moh', 'palestine_moh', 'palestine_moh']"
AuRED_037,Macron to Sky News after my visit to Mrs Fairouz last night and the visit to the Jaj Cedar Reserve realize the love of large section of the lebanese people for their President of the Republic Fairouz also tell about her appreciation and love for the President and the reform project that the President of the Republic want to implement also salute the President of the Republic and his effort and patience,REFUTES,"['1301079467889131522', '1301067546200858626', '1300798719751794688']",RT Macron and Mrs Fairouz this news be not publish by aSky Newsa FactCheck via FactCheck good morning Beirut but this be fabricate news and supporter of the Free Patriotic Movement be not convinced that Macron do not tell Sky News at all he do not make any statement neither he nor Fayrouz such word good morning Beirut fakenews this news attribute to Sky News Arabia be false,"['salmanonline', 'salmanonline', 'salmanonline']"
AuRED_085,Saudi Arabia evacuate student from China in plane that could accommodate passenger and do not evacuate yemeni student with it while participate with warplane to bomb Yemen may God protect the Sultanate of Oman for send private plane to the yemeni student strand in China and what good neighbor Oman ai co OfDSIoDry,REFUTES,"['1226482043007066113', '1225345358961762304', '1226202744475865089', '1224702545127407617', '1224372681870651392', '1224361944959922178', '1224361941986050049', '1225075510461583362', '1224728227136131073', '1224727797043814400', '1224725042845704193', '1225286729332150273', '1224919667661295618', '1224919598698565633', '1224919545057619968', '1224919523691827202', '1224208762606686209', '1226177350376685569', '1226116927015141376', '1225068691332550662', '1224546827657048064', '1224347860436582400', '1224339041534898179', '1224153761511198720', '1224264648142151680', '1224264646913187842', '1226159605815947264', '1226159298398556160', '1226093838357405696', '1225418369857413120', '1224759855837143040']",RT the Yemeni Embassy in China announce the start of disburse financial aid to all yemeni student and their family reside in the chinese city of Wuhan which be witness the spread of the Corona virus in the come day Statement by the administrative body of the yemeni Students Union in China regard the condition of student in Wuhan the Yemeni Embassy in China announce the start of disburse financial aid to all yemeni student and their family reside in the chinese city of Wuhan which be witness the spread of the Corona virus in the come day Deputy Prime Minister Dr Salem Al Khanbashi chair an expand meeting to study precautionary arrangement to prevent the spread of the Coronavirus to Yemen note the directive of Prime Minister Dr Maeen Abdulmalik to form an emergency committee and take all measure to protect student and the yemeni community in China Prime Minister Dr Maeen Abdulmalik make phone call with the chargac daffaires of the Yemeni Embassy in China Ahmed Jaber to check on the condition of the student and the yemeni community stress that the government under the directive of the President of the Republic will provide in coordination with the chinese authority all support to maintain their safety as result of the outbreak of the Corona virus the Prime Ministeras directive include speed up the disbursement of additional financial aid to yemeni student in the chinese city of Wuhan which be direct after the spread of the Corona virus as well as complete the transfer of quarter due to student on scholarship in China and disburse their due for the quarter in an exceptional and urgent manner Prime Minister Dr Maeen Abdulmalik chair an emergency meeting on the Corona virus and the necessary measure to protect student and the yemeni community in China and direct the formation of an emergency committee head by Deputy Prime Minister Salem Al Khanbashi to follow up on student and member of the community strand in the city of Wuhan and way to evacuate they and give they full health care the Minister of Foreign Affairs discuss with the Ambassador of the People Republic of China to our country the condition of yemeni national in China especially student and resident of the city of Wuhan and the necessary arrangement to provide they with the necessary need and the possibility of their evacuation stress the sending of additional financial aid to our child in the city of Wuhan the Vice President of the Republic express his wish to the yemeni student the yemeni community and friend in China for safety due to the spread of the virus and for this crisis to end with the least loss the Vice President stress the importance of make maximum effort to protect student and the yemeni community there and intensify communication with the chinese side support party brother and friend in way that will prevent they from be infect with the virus and prevent the epidemic from reach our country the Vice President of the Republic in his meeting with the Minister of Public Health and Population follow up on the effort make to protect yemeni student in China from infection with the Corona virus and preventive measure in this aspect in implementation of the directive of his Excellency Abd Rabbuh Mansour Hadi President of the Republic RT the Minister of Foreign Affairs discuss with the Ambassador of the Peopleas Republic of China to our country the condition of yemeni national in China especially student and resident of the city of Wuhan and the necessary arrangement to provide they with the necessary need and the possibility of their evacuation stress the sending of additional financial aid to our child in the city of Wuhan RT Prime Minister Dr Maeen Abdulmalik chair an emergency meeting on the Corona virus and the necessary measure to protect student and the yemeni community in China and direct the formation of an emergency committee head by Deputy Prime Minister Salem Al Khanbashi to follow up on student and member of the community strand in the city of Wuhan and way to evacuate they and give they full health care RT the Vice President of the Republic in his meeting with the Minister of Public Health and Population be follow up on the effort make to protect yemeni student in China from be infect with the Corona virus and the preventive measure in this aspect in implementation of the directive of his Excellency President Abd Rabbuh Mansour Hadi President of the Republic RT the Vice President stress the importance of exert maximum effort to protect student and the yemeni community there and intensify communication with the chinese side support body brother and friend in way that will prevent they from be infect with the virus and prevent the epidemic from reach our country RT the Vice President of the Republic express his wish to the yemeni student the yemeni community and friend in China for safety due to the spread of the virus and for this crisis to end with the least loss RT we be in direct contact with our student in the city of Wuhan where the Corona virus have spread and under the guidance of the countryas leadership we be coordinate with the chinese authority and our embassy in China and arrange the necessary procedure to provide what they need and discuss the possibility of evacuate they with the relevant authority we be pleased to announce that financial aid will be disburse to all yemeni citizen reside in the city of Wuhan during the next week immediately after coordination with the Foreign Affairs Office in the city of Wuhan be complete we highly value the commitment of our dear citizen to the instruction of the chinese government to ensure their safety may you always be well RT let us listen to the word from the yemeni student in Wuhan China Al Hadrami discuss with the chinese ambassador the condition of Yemenis reside in Wuhan Saba Net Saba net the Prime Minister reassure student and the yemeni community in China Saba Net Saba net the Prime Minister direct to take all necessary measure to protect student and the yemeni community in China from Corona Saba Net Saba net we be in constant contact with the student in Wuhan and work group have be establish that have complete the necessary proposal and statement and submit they to decision maker we hope everyone will be patient and we highly appreciate the chinese governmenta care attention and provision of the need of everyone in their home RT we be in direct contact with our student in the city of Wuhan where the Corona virus have spread and under the guidance of the countryas leadership we be coordinate with the chinese authority and our embassy in China and arrange the necessary procedure to provide what they need and discuss the possibility of evacuate they with the relevant authority our heart be with you and our prayer be with you we ask God to protect you and our chinese friend from the evil and danger of this virus our brother and son who be in the friendly Republic of China we pray for safety for you and for your chinese friend and Allah willing the disaster will be overcome the leadership be follow what be happen and your appeal especially those in Wuhan be of concern and Allah willing the issue will be address urgently university and the chinese government provide food to yemeni student in Wuhan here be the process of distribute food to yemeni student we be with you let we make joint effort to overcome this difficult period ddai da Universities and the chinese government provide food to yemeni student in Wuhan let we make joint effort to overcome this difficult perioddai da let us listen to the word of the yemeni student in Wuhan China the ambassador meet with Sheikh Abdul Salam Al Khudairi today Undersecretary of the Ministry of Endowments and Guidance the side discuss the Corona virus in China and the situation of yemeni expatriate and student there the Sheikh thank the chinese government for its effort in combat the virus and protect yemeni citizen and express his hope that China will defeat the virus early co LMgxBmgMl let we listen to the word and opinion regard the spread of the Corona virus from the yemeni student Dr Osama Al Waleed who be now in the chinese city of Wuhan,"['YSUCORG', 'YSUCORG', 'Yemen_PM', 'Yemen_PM', 'Yemen_PM', 'Yemen_PM', 'Yemen_PM', 'yemen_mofa', 'alimohsnalahmar', 'alimohsnalahmar', 'alimohsnalahmar', 'yemenembassymu1', 'yemenembassymu1', 'yemenembassymu1', 'yemenembassymu1', 'yemenembassymu1', 'yemenembassymu1', 'ye_embassy_cn', 'ye_embassy_cn', 'ye_embassy_cn', 'ye_embassy_cn', 'ye_embassy_cn', 'ye_embassy_cn', 'ye_embassy_cn', 'AlbarkaniS', 'AlbarkaniS', 'ChineseEmbtoYEM', 'ChineseEmbtoYEM', 'ChineseEmbtoYEM', 'ChineseEmbtoYEM', 'ChineseEmbtoYEM']"
AuRED_089,the Corona epidemic have reach the Emirates with case in Abu Dhabi and case in Dubai warning to refrain from travel to the Emirates in order to preserve safety and not transmit the epidemic may God protect Muslims everywhere,REFUTES,"['1222506828694794240', '1223649306667778049', '1222476311291142145', '1222418957833068546', '1223651591712014338', '1223647517855928326', '1222457635909312512', '1222382247099150337', '1223649510116732930', '1222489400422096896', '1222421365459968001', '1222581824242769920', '1222581782421307393']",today confirm the emergence of the case of the new Coronavirus in the Eastern Mediterranean Region in the United Arab Emirates follow confirmation on January member of the same family from the chinese city of Wuhan arrive in the UAE at the beginning of January and be admit to the hospital after they be confirm infect with the coronavirus new case of infection with the new Corona virus be record for person come from the city of Wuhan in the Peopleas Republic of China thus the number of case discover in the country be only since the outbreak of the disease to date newcoronavirus coronaviru people from chinese family be infect with the new Corona virus all of whom be in stable condition and be contain accord to internationally approve precautionary measure the general health situation do not cause concern case of infection with the new Coronavirus have be diagnose for people from the same family come from the city of Wuhan in the Peopleas Republic of China the health condition of the injure be stable and under medical observation ministryofhealthandcommunityprevention RT new case of infection with the new Corona virus be record for person come from the city of Wuhan in the Peopleas Republic of China thus bring the number of case discover in the country to only since the outbreak of the disease until today NewCoronaVirus CoronaVirus art aministryofhealtha announce the registration of new case of infection with the new Coronavirus WAM RT UAE people from chinese family be infect with the new Coronavirus WAM RT the UAE announce the registration of the case of infection with the new Coronavirus and the Ministry of Health and Community Protection confirm that the health condition of those infect be stable and under medical observation RT new case of infection with the new Corona virus be record for person come from the city of Wuhan in the Peopleas Republic of China thus bring the number of case discover in the country to only since the outbreak of the disease until today NewCoronaVirus CoronaVirus RT people from chinese family be infect with the new Corona virus all of whom be in stable condition and be contain accord to internationally approve precautionary measure ministryofhealthandcommunitypreventionemirate NewCoronavirus coronavirus RT the general health situation do not cause concern case of infection with the new Coronavirus have be diagnose for people from the same family come from the city of Wuhan in the Peopleas Republic of China the health condition of the injure be stable and under medical observation ministryofhealthandcommunitypreventionemirate RT people from chinese family be infect with the new Corona virus all of whom be in stable condition and be contain accord to internationally approve precautionary measure ministryofhealthandcommunitypreventionemirate NewCoronavirus coronavirus RT the general health situation do not cause concern case of infection with the new Coronavirus have be diagnose for people from the same family come from the city of Wuhan in the Peopleas Republic of China the health condition of the injure be stable and under medical observation ministryofhealthandcommunitypreventionemirate,"['WHOEMRO', 'mohapuae', 'mohapuae', 'mohapuae', 'NCEMAUAE', 'NCEMAUAE', 'NCEMAUAE', 'NCEMAUAE', 'DHA_Dubai', 'DHA_Dubai', 'DHA_Dubai', 'DoHSocial', 'DoHSocial']"
AuRED_135,the official spokesman for the Football Association Al Ahly send letter to the Football Association announce its refusal to wear Zamalek in the full blue uniform during the egyptiansupermatch base on its request,REFUTES,"['1585012773125120000', '1585011015032315904']",Islam Al Shater awarnsa against fabricate news and spread rumour we do not have an act ceo in this position and we have nothing to do with the uniform of other YouTube thebighouse alahlytv do co IRnGOWP aal ahlyas objection speech to the aZamalek uniforma in the Super Cup be afabricateda Islam Al Shater even failure amount to fabrication youtube thebighouse alahlytv do co aTUxUOkVB,"['AlAhlyTV', 'AlAhlyTV']"
AuRED_141,the Prime Minister of Italy Giorgia Meloni with the Prime Minister of Iraq Muhammad Shia al Sudani in Baghdad but what be strange be that the aflaga be not the flag of the aItalian Statea this be the situation when mercenary agent rule as agent the occupier do not even know the difference between the flag of Italy and the flag of Ireland,REFUTES,['1606302597861691393'],dd we officially deny the news of the allege error relate to raise the official flag during todayas meeting of the Prime Minister of Italy Mrs Giorgia Meloni with her iraqi counterpart Mr Muhammad Al Sudani in Baghdad this news be due to the visual effect result from the photography the flag use be all of the Italian Republic,['ItalyinIraq']
AuRED_143,Urgent ai resignation of the Director General of the Municipality Engineer AhmedAl Manfoukhi,REFUTES,['1582632003370786816'],some people circulate on social medium incorrect news which be attribute to aforgerya to ayour newspapera in turn we confirm that the news be not true and warn against use the newspaperas name to spread rumour we also confirm that the newspaper be only responsible for the news it publish through its approve social medium account,['ImeGrop']
AuRED_146,Ministry of Works we receive in kind donation from citizen or company for specific street repair via official address,REFUTES,['1575070484856639493'],the Ministry of Public Works categorically deny the incorrect news mention about open the door for donation from citizen or company to repair street road and street be develop and maintain in accordance with contract sign between the Ministry and party with common interest,['mpw_kw']
AuRED_152,exclusively the queen of arab Pop NancyAjram refuse to sing with restaurant singer NawalAlzoghbi after Nawal ask several time to sing with she and to have duet together dd trioarabicnight,REFUTES,['1608466918561792000'],this talk be wrong and unacceptable and it do not resemble the people who love hope will not be force to respond again to story of this kind all the artist be participate in together tonight and together we will present the good party away from all the talk that have come out or be reasonable to come out,['NancyAjram ']
AuRED_155,unconfirmed information about MP Alain Aoun be involve in serious accident and information about his death,REFUTES,['1475115418905939980'],in the context of malicious rumour false news be widely circulate on social medium about my exposure to serious accident that lead to my death thank everyone who reassure and call or try to call and confirm that be fine and that the news be false,['Alain_Aoun']
